Night,HR,HRV,BR,Moon
12/01/22,60,140,14,10
12/02/22,71,69,14,10
12/03/22,75,73,12,10
12/04/22,76,46,15,10
12/05/22,63,124,14,10
12/06/22,76,97,15,50
12/07/22,73,134,15,20
12/08/22,70,167,15,20
12/09/22,74,66,15,20
12/10/22,76,85,15,20
12/11/22,72,158,15,20
12/12/22,65,140,15,20
12/13/22,69,156,14,20
12/14/22,70,67,14,20
12/15/22,65,68,14,70
12/16/22,68,77,14,30
12/17/22,70,60,15,30
12/18/22,74,20,14,30
12/19/22,67,70,14,30
12/20/22,74,55,15,30
12/21/22,73,41,15,30
12/22/22,72,81,15,90
12/23/22,71,122,15,40
12/24/22,74,51,15,40
12/25/22,73,42,15,40
12/26/22,74,52,15,40
12/27/22,70,112,15,40
12/28/22,70,68,15,40
12/29/22,71,67,14,110
12/30/22,65,46,14,10
12/31/22,73,61,15,10
01/01/23,76,45,15,10
01/02/23,68,84,15,10
01/03/23,74,126,15,10
01/04/23,64,181,14,10
01/05/23,73,67,15,10
01/06/23,77,68,15,50
01/07/23,70,59,14,20
01/08/23,76,49,15,20
01/09/23,71,63,15,20
01/10/23,72,67,15,20
01/11/23,70,67,14,20
01/12/23,75,134,16,20
01/13/23,69,45,15,20
01/14/23,68,66,14,70
01/15/23,0,0,0,30
01/16/23,71,40,15,30
01/17/23,73,74,15,30
01/18/23,73,142,14,30
01/19/23,62,71,15,30
01/20/23,72,69,14,30
01/21/23,70,62,15,90
01/22/23,73,88,15,40
01/23/23,73,48,14,40
01/24/23,75,88,15,40
01/25/23,68,97,15,40
01/26/23,74,109,15,40
01/27/23,68,91,15,40
01/28/23,73,51,15,110
01/29/23,83,47,15,10
01/30/23,70,83,15,10
01/31/23,65,218,15,10